label,n,time_ms,comparisons,swaps,array_accesses,allocations,method_calls
build_heap:random,100,1,0,67,200,1,0
insert_n:random,100,1,194,98,100,4,0
increase_key_batch:random,100,1,9,0,30,0,0
extract_all:random,100,0,0,507,100,0,0
build_heap:random,100,0,0,67,200,1,0
insert_n:random,100,0,194,98,100,4,0
increase_key_batch:random,100,0,10,0,30,0,0
extract_all:random,100,0,0,507,100,0,0
build_heap:random,100,0,0,67,200,1,0
insert_n:random,100,0,194,98,100,4,0
increase_key_batch:random,100,0,10,0,30,0,0
extract_all:random,100,0,0,507,100,0,0
build_heap:random,1000,2,0,734,2000,1,0
insert_n:random,1000,1,2250,1254,1000,7,0
increase_key_batch:random,1000,2,100,0,300,0,0
extract_all:random,1000,1,0,8384,1000,0,0
build_heap:random,1000,0,0,734,2000,1,0
insert_n:random,1000,0,2250,1254,1000,7,0
increase_key_batch:random,1000,4,100,0,300,0,0
extract_all:random,1000,0,0,8384,1000,0,0
build_heap:random,1000,0,0,734,2000,1,0
insert_n:random,1000,0,2250,1254,1000,7,0
increase_key_batch:random,1000,4,100,0,300,0,0
extract_all:random,1000,0,0,8384,1000,0,0
build_heap:random,10000,3,0,7414,20000,1,0
insert_n:random,10000,3,22761,12766,10000,11,0
increase_key_batch:random,10000,4,1000,0,3000,0,0
extract_all:random,10000,4,0,116859,10000,0,0
build_heap:random,10000,0,0,7414,20000,1,0
insert_n:random,10000,1,22761,12766,10000,11,0
increase_key_batch:random,10000,2,1000,0,3000,0,0
extract_all:random,10000,3,0,116851,10000,0,0
build_heap:random,10000,0,0,7414,20000,1,0
insert_n:random,10000,1,22761,12766,10000,11,0
increase_key_batch:random,10000,1,999,0,3000,0,0
extract_all:random,10000,3,0,116856,10000,0,0
build_heap:random,100000,6,0,74334,200000,1,0
insert_n:random,100000,9,227907,127925,100000,14,0
increase_key_batch:random,100000,14,10000,0,30000,0,0
extract_all:random,100000,21,0,1500873,100000,0,0
build_heap:random,100000,2,0,74334,200000,1,0
insert_n:random,100000,4,227907,127925,100000,14,0
increase_key_batch:random,100000,10,10000,0,30000,0,0
extract_all:random,100000,18,0,1500756,100000,0,0
build_heap:random,100000,2,0,74334,200000,1,0
insert_n:random,100000,4,227907,127925,100000,14,0
increase_key_batch:random,100000,10,10000,0,30000,0,0
extract_all:random,100000,16,0,1500871,100000,0,0
